Title;Review;Replay;Name;Rating;DateTime
;Thanks to the brilliant review management software that ran thousands of other reviews using this software, I was able to quickly sort out all the problems customers had and find a good solution.;;michael snell;5;2019-08-09T22:50:16
The best feedback management;You have a very efficient review management system. Very honest and only real reviews are published, whether positive or negative. Customer service was the best I have ever seen. Quick response and very professional behavior. I would recommend collect reviews to everyone. Good job collecting reviews team.;;Sally;5;2019-06-17T20:39:07
Best provider I came across.;This is the best review provider. I came across a very helpful team that is easy to set up and offers very responsive customer care. I would recommend this company.;;Jonathan Townshend;5;2019-01-06T20:35:53
Increase visitor numbers and customer service;I use collect reviews in several online shops that I own and I can definitely measure an increased number of visitors in each shop. The customer service was always friendly and responded to my inquiries, recommended !!!;;ovidiu-george stoica;5;2018-12-04T22:49:46
Extremely reliable;As a company specializing in the online sale of French and German auto parts, we are very customer-oriented. Our ethos is 100% satisfaction across the board as a minimum standard. The system of collect reviews enables control over reviews, since an answer can be published alongside the review with an explanation / apology / argument, but the setup is very transparent for the company. If there is criticism, this should apply to the company controlled as YOU. I believe that in the past the system could be manipulated so that only positive reviews could be viewed, but was spoken to a Collect representative. The procedure has recently been changed to prevent this. Let's be realistic. ANY online reviews are a guide, not a guarantee. After all, you can pay 100 students to write glowing reviews if you want. So let's not shoot the messenger.;;Chris;5;2018-10-23T15:37:33
With collect reviews, companies are guaranteed to give REAL customer feedback;We have been using collect reviews for about 8 months to collect customer reviews for our e-commerce companies and are very happy with their services! Collecting customer reviews is a very simple process. The customer login area is very user-friendly. The price is much lower than other competitors and the service provided by the online and telephone representatives is always a great and fun experience. I would recommend Collect Reviews to any ecommerce company looking for an easy and inexpensive way to collect customer reviews.;;Graham Tyers;5;2018-10-15T20:46:26
Fixes bugs in public reviews;If you don't have to be a buyer of a product to rate it, you can't trust reviews. And if you can leave an irrelevant comment as a reason for a 1 or 2 star rating (e.g. I wanted to order on Christmas Eve but they don't deliver) it will be more difficult for the end user. A third-party provider that filters the ratings makes a lot more sense than the retailer who filters the ratings itself. I would like to see more companies adopt the collect reviews approach.;;RuthD;4;2018-09-27T07:51:14
Totally fair reviews must work in both directions.;"With the greatest respect for customers who have had bad experiences with bad service providers, I understand your frustration because I was in the same situation myself. Nobody is perfect, every feedback always has two sides, and ""the circumstances can sometimes be beyond the supplier's sphere of influence"", e.g. B. Bad weather, third parties and freight forwarders who can let even the most professional and best organized companies down. I firmly believe that it is your reaction to resolve the situations that make the difference. In my opinion, the arbitration process for collecting evaluations is really fair for both parties, as it enables the supplier to explain the situation specific to your feedback and to offer a solution to your considerations. Whether you are satisfied with the solution or not, if you respond within the given time (within this time frame (both parties have the same time constraints), your negative feedback will be published along with your supplier's comments). This is certainly the fairest way for everyone, as future visitors can get an idea of ​​the relevance of the feedback by reading a balance of both points of view.";;Terry Malone;5;2018-09-04T11:24:53
I find the reviews of collect reviews trustworthy;I have used collect reviews on websites in the UK and Germany. I find it very imaginative, especially when buying across borders. Once I had a problem with the delivery and gave the seller negative feedback. After I passed the Abitration, my feedback was published. I never felt that they were;;The Office Agent;5;2018-07-27T02:25:14
5 stars to collect, unlike Trustpilot;I've been at CR for ** and ** for almost 3 years, everything is without any problems, helpful customer service, I refused to pay the high price for Trustpilot, I believe that Trustpilot uses the mafia tactic, with which you can solve any problems that arise with cr.de - 5 stars ;;Julia Kedziora;5;2017-11-03T13:57:14
